"USER","photos","end","start","days","seconds","years","between"
"240d5e7ac8fa28572f94fc0bb297fd73",112,2016-10-15,2005-06-17,4138,978845.174537988,11,2016-10-15 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2016-10-12,2005-06-17,4135,978135.523613963,11,2016-10-12 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2016-10-10,2005-06-17,4133,977662.422997947,11,2016-10-10 UTC--2005-06-17 UTC
"ec21f2d37a0049c3bdfcd236ac57a6b3",36,2020-01-12,2008-09-21,4130,976952.772073922,11,2020-01-12 UTC--2008-09-21 UTC
"a28396edfe48d9f0cbc3052eac3f2af5",17,2020-06-21,2009-03-14,4117,973877.618069815,11,2020-06-21 UTC--2009-03-14 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-08-07,2006-04-30,4117,973877.618069815,11,2017-08-07 UTC--2006-04-30 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-08-06,2006-04-30,4116,973641.067761807,11,2017-08-06 UTC--2006-04-30 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-08-05,2006-04-30,4115,973404.517453799,11,2017-08-05 UTC--2006-04-30 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-07-31,2006-04-30,4110,972221.765913758,11,2017-07-31 UTC--2006-04-30 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-07-30,2006-04-30,4109,971985.21560575,11,2017-07-30 UTC--2006-04-30 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2017-04-02,2006-01-15,4095,968673.511293635,11,2017-04-02 UTC--2006-01-15 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-07-16,2006-04-30,4095,968673.511293635,11,2017-07-16 UTC--2006-04-30 UTC
"94a5132186cd544058424d88d5f6bcfd",75,2015-12-26,2004-10-17,4087,966781.108829569,11,2015-12-26 UTC--2004-10-17 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2017-03-21,2006-01-15,4083,965834.907597536,11,2017-03-21 UTC--2006-01-15 UTC
"9edfc1b7df37e7ac89da873ec06ad57f",134,2019-09-16,2008-07-16,4079,964888.706365503,11,2019-09-16 UTC--2008-07-16 UTC
"828ab1042417dcf5d5ba947f40cc697f",26,2019-06-10,2008-04-10,4078,964652.156057495,11,2019-06-10 UTC--2008-04-10 UTC
"facfbd950052b75e010b79bc2e107c3e",128,2017-09-21,2006-07-24,4077,964415.605749487,11,2017-09-21 UTC--2006-07-24 UTC
"482d8edf603dab7b3a41a2f7e3e06446",178,2020-02-07,2008-12-13,4073,963469.404517454,11,2020-02-07 UTC--2008-12-13 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2019-09-20,2008-07-26,4073,963469.404517454,11,2019-09-20 UTC--2008-07-26 UTC
"facfbd950052b75e010b79bc2e107c3e",128,2017-09-16,2006-07-24,4072,963232.854209446,11,2017-09-16 UTC--2006-07-24 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2019-09-19,2008-07-26,4072,963232.854209446,11,2019-09-19 UTC--2008-07-26 UTC
"6f608d604b4f03f4e15f54f48b195fd0",8,2020-10-31,2009-09-10,4069,962523.203285421,11,2020-10-31 UTC--2009-09-10 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2019-09-12,2008-07-26,4065,961577.002053388,11,2019-09-12 UTC--2008-07-26 UTC
"9edfc1b7df37e7ac89da873ec06ad57f",134,2019-08-31,2008-07-16,4063,961103.901437372,11,2019-08-31 UTC--2008-07-16 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2019-09-10,2008-07-26,4063,961103.901437372,11,2019-09-10 UTC--2008-07-26 UTC
"c8516f221ffbefb809148bf09a7beace",938,2017-06-11,2006-04-30,4060,960394.250513347,11,2017-06-11 UTC--2006-04-30 UTC
"e96b50998b9a4af145119ce55ce04c18",42,2015-10-27,2004-09-15,4059,960157.700205339,11,2015-10-27 UTC--2004-09-15 UTC
