"USER","Biosfera Val Müstair","Jurapark Aargau","Landschaftspark Binntal","Naturpark Beverin","Naturpark Diemtigtal","Naturpark Gantrisch","Naturpark Pfyn-Finges","Naturpark Thal","Parc du Doubs","Parc Ela","Parc Jura vaudois","Parc naturel périurbain du Jorat","Parc naturel régional de la Vallée du Trient","Parc naturel régional Gruyère Pays-d’Enhaut","Parc régional Chasseral","Parco Val Calanca","Regionaler Naturpark Schaffhausen","Schweizerischer Nationalpark","UNESCO Biosphäre Entlebuch","Wildnispark Zürich Sihlwald","Total_Park"
"f36aabb06ccdd3b832cc7c11dc8efe08",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f4814dbef597375088d56fafe8600804",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f4d9f80e889332ccd84ed8612ef16687",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f59f002ec343a528d4b349060892a95f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fb636d9587c359113be242ff901737f4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fbef67c7bbb085ab1932733478c01da3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fe6717343c3be19d3d2bcd6f7eb53f0b",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fec733f1fb46d48f51350f83e4a0239e",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"006e9a7ac54e400b67dafe8d0e29237b",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0475c172e885b4d2ad111e2afb43eef3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"06dd3519d4244d2fedd7a6f25ee0dad5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0b5dfce236cf9dc5edd322fec3acae4f",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"117471eb4369ad5897f13f4065b755e7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"125c2997b025bf0213e75053b80a08b3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"131a0e371a7518e3661b39f2a9b3697e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1a62af88e99962024e987956354e7645",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1c6eb817519476b1e780a2d55575f2b7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1e3d43dbd80941713002165749eb11a8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1f663db57df7d521eb9e1c365c79fc48",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1f8ce5fe599a06d456fa3581cd1c671e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"236f19058f1291069dfc6b226d3dd880",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24eb9a5a045e443b6c3e108e890169b8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"280fa80d9231dd147d2e74ca7b3a84e3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"285e33806b6976fde7363534afffcb4f",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28fc8d8cb902ba3e172c8397788ce5b8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2db56bdb1f5d5cbd4245d723e57f16ec",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2fd3b90c911d3f0721e2d3d047873aa0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31a334df7d9e9ed5046c3868c48854a1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32da62e8f88f3843cb4cf9c93bfec0a8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"330f09da4e5ddd491fd32148cbb09983",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34416e66d2ccd29208d69f1aa4726a56",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3ae525ed1d74a1ed3c4411175793a8ce",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3bd8b2811d61077bf60091179708743a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40aadb3df1d2736f89e4f6d3f62d2f18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41fd433625701eeeb2f8e134b77647ae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42dc09ae6692c010ead75fcd1a54be53",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44f6897260afcf16d0abc022063d0277",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"509074953728305ae477b95fe5ed2627",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53519e53bf3c67da4c01b1398876ca04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"58c6397566e3c261b65255dd16fe3b9c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"58ceb7b23c42b0aeb968e65c6a69f631",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59a3ad5b0478ea8d5c4b4e40f43e4b35",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5af98d7010ee63f2a0dcb8e900bcff3a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5b49c5b4ae5cb06e89498241b518c509",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5dbb5ca1c5644761a786f2d958e3972f",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5e7223a2d4f058fe963d2895a7d2fe9b",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5f9386c1f889ca3aac9d226902e3e95e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"608a68a274ad2e1501f8743fa5db6082",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"685487ef09966a7ac788a597a3fd5d07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6b6d96625b903386411c05c702458304",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6c48340b0d6ccad322200af225925663",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7267f42a400be94a8a786e055ee5d185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"72a3b64bd7f541cb751d953f62486c12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"72f524ecc72b50a07fbc13a9b1f03e79",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"74264ac340270a6ce922f8a6fc98553e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7867639fdc50f10cbbe1bd0ee4985cf7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"78eb8dbcb86eeccd1e4df7e5b1352495",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"796fec9c2ce0ee6100ecc4b521d7800e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7a3b3ece2b7f1781884d6dfe99264209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7dd75deaaafe6b2adf83963e452bd6f6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7fe94207fcfccc2903c5204c550d215d",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"83f624ef4f42276a74a5536eb4410203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"87957a252dd9dc65c20d9e245c1b079a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8f83caf86d93ed0110d1e76bde24085d",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9453d227bd70ead02aa3213f74d87ed5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96b4516dff149cfeb8dae916660251de",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a352dfed35c23e2f6466c3157266f11a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a45c4c81e0961ecad49973a5947b89f6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a782b6ff7ffeda611d789fb90ac49619",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
